Produksi_kWh,Kesusutan_kWh,Persentase_,Terjual_kWh,Pelanggan,Tahun,YearMonth,Bulan,Efficiency_,Energy_Loss_kWh,Customer_Growth_Rate
49825500.0,4871151.0,9.8,44819334.0,204049.0,2002,2002-01,1,89.95260258301472,5006166.0,0.0
48629342.0,2910640.0,6.0,45583376.0,205074.0,2002,2002-02,2,93.73636188620442,3045966.0,0.5023303226185938
50208867.0,7301396.0,14.58,42784913.0,206467.0,2002,2002-03,3,85.21385873933383,7423954.0,0.6792669963037623
49863631.0,5050488.0,10.16,44679980.0,207589.0,2002,2002-05,5,89.6043450987354,5183651.0,0.54342824761342
54046291.0,4301220.0,7.98,49615252.0,208402.0,2002,2002-09,9,91.80140039581994,4431039.0,0.3916392487077758
57188750.0,6711970.0,11.76,50339364.0,208622.0,2002,2002-10,10,88.02319337282245,6849386.0,0.10556520570819128
55981021.0,5468164.0,9.79,50376459.0,208887.0,2002,2002-12,12,89.98846055344364,5604562.0,0.12702399555175603
55544935.0,7191460.0,12.5,50353475.0,208935.0,2003,2003-01,1,90.65358524589145,5191460.0,0.0229789311924522
52517035.0,2410807.0,4.59,50106228.0,209083.0,2003,2003-02,2,95.4094761823473,2410807.0,0.070835427286009
55892537.0,7934584.0,14.2,47957953.0,209190.0,2003,2003-04,4,85.8038578567296,7934584.0,0.0511758488255909
55979968.0,4412562.0,7.88,51567406.0,209655.0,2003,2003-06,6,92.11760535482979,4412562.0,0.22228596013194046
55952260.0,2945774.0,5.26,53006486.0,209759.0,2003,2003-07,7,94.7352010446048,2945774.0,0.049605303951727464
56821128.0,8409344.0,14.8,48411784.0,210533.0,2003,2003-09,9,85.20032196474523,8409344.0,0.36899489414041753
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2003,2003-10,10,87.51078402291772,12388373.745903805,41.227729094915055
58470137.0,3585212.0,6.13,54884925.0,212962.0,2003,2003-11,11,93.86830237801563,3585212.0,-28.375440845030997
60622948.0,4443238.0,7.33,56179710.0,217211.0,2003,2003-12,12,92.67069955093574,4443238.0,1.995191630431714
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-01,1,87.51078402291772,12388373.745903805,36.885781519074754
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-02,2,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-03,3,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-04,4,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-05,5,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-06,6,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-07,7,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-08,8,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-09,9,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-10,10,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-11,11,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2004,2004-12,12,87.51078402291772,12388373.745903805,0.0
66795325.0,6903695.0,10.34,59891630.0,237165.0,2005,2005-01,1,89.66440390850707,6903695.0,-20.23535385661187
62849603.0,1968794.0,3.13,60880809.0,238141.0,2005,2005-02,2,96.86745197101723,1968794.0,0.41152783926801106
69693137.0,10324165.0,14.81,59368972.0,238991.0,2005,2005-03,3,85.18625298786594,10324165.0,0.3569313977853428
66434139.0,8132875.0,12.24,58301264.0,239344.0,2005,2005-04,4,87.75798840412457,8132875.0,0.14770430685673297
67625025.0,9932342.0,14.69,57692683.0,240022.0,2005,2005-05,5,85.31262354431662,9932342.0,0.28327428304031343
62973474.0,4081932.0,6.48,58891542.0,240771.0,2005,2005-06,6,93.518013632216,4081932.0,0.31205472831656866
61238161.0,5155936.0,8.42,56082225.0,241133.0,2005,2005-07,7,91.58051790614678,5155936.0,0.15035033288892663
66616998.0,7983489.0,11.98,58633509.0,241410.0,2005,2005-08,8,88.01583793974025,7983489.0,0.11487436394024275
56998172.0,6081872.0,10.67,50916300.0,204009.0,2005,2005-09,9,89.32970692463611,6081872.0,-15.492730210016159
58310399.0,7515127.0,12.89,50795272.0,204110.0,2005,2005-10,10,87.11185804096453,7515127.0,0.04950761976187934
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-01,1,87.51078402291772,12388373.745903805,45.671929300572
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-02,2,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-03,3,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-04,4,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-05,5,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-06,6,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-07,7,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-08,8,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-09,9,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-10,10,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-11,11,87.51078402291772,12388373.745903805,0.0
99192565.55925108,8327284.708502203,8.881541850220264,86804191.81334728,297330.9748953975,2006,2006-12,12,87.51078402291772,12388373.745903805,0.0
60045535.0,7368630.0,12.27,52640878.0,208052.0,2007,2007-01,1,87.66826376016135,7404657.0,-30.026799235029678
54013586.0,4881910.0,9.04,49099268.0,208120.0,2007,2007-02,2,90.90170017595203,4914318.0,0.0326841366581343
58280321.0,7658310.0,13.14,50587043.0,208181.0,2007,2007-03,3,86.79952706506198,7693278.0,0.029310013453787143
56821151.0,5610926.0,9.87,51176132.0,208171.0,2007,2007-04,4,90.06528572432472,5645019.0,-0.004803512328210857
58515555.0,7173203.0,12.26,51307242.0,208117.0,2007,2007-05,5,87.68137292724985,7208313.0,-0.025940212613673186
53942854.0,4461507.0,8.27,49448981.0,208103.0,2007,2007-06,6,91.66919681335362,4493873.0,-0.006726985301541699
58196353.0,7339547.0,12.61,50821888.0,208015.0,2007,2007-07,7,87.32830388873337,7374465.0,-0.042286752233267055
58047992.0,5954678.0,10.26,52058485.0,208030.0,2007,2007-08,8,89.68180156860551,5989507.0,0.007211018436170669
58398535.0,5470526.0,9.37,52892969.0,208072.0,2007,2007-09,9,90.57242446236022,5505566.0,0.02018939576022838
59187124.0,6719498.0,11.35,52432114.0,208129.0,2007,2007-10,10,88.58702781368461,6755010.0,0.027394363489552376
58547869.0,2084885.0,3.56,56427856.0,208219.0,2007,2007-11,11,96.37900911474676,2120013.0,0.043242412157851184
60635710.0,4627800.0,7.63,55971529.0,208204.0,2007,2007-12,12,92.30786445808914,4664181.0,-0.007203953529699714
61805594.0,8302807.0,13.43,53502788.0,208204.0,2008,2008-01,1,86.56625482800149,8302806.0,0.0
58432463.0,4489030.0,7.68,53943433.0,208258.0,2008,2008-02,2,92.31757524922405,4489030.0,0.025936101131573963
